date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,pitch_left,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left
17/08/2022,10:50:11,Enter ID,Free text,None,2,1,None,None,2022_08_17-10_39_27.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0.19047619,0.170722222,0.022904762,0.714285714,0,0.927666666,0,0,0,0,0,0
17/08/2022,11:39:11,Enter ID,Free text,None,3,1,None,None,2022_08_17-11_39_10.xml,None,200,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.006166667,0,1.095238095,0,1.095238095,0,0,0,0,0,0
17/08/2022,11:52:52,Enter ID,Free text,None,2,1,None,None,2022_08_17-11_52_51.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0.148148148,0.23,0.009296296,1.740740741,0,1.898185185,0,0,0,0,0,0
17/08/2022,12:11:27,Enter ID,Free text,None,4,1,1,6,2022_08_17-12_11_08.xml,None,60,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",,0,0.321416667,0.057055556,0,0,0.057055556,0,0,0,0,0,0
17/08/2022,12:16:09,1,Free text,Calibration,6,1,4,5,2022_08_17-12_15_57.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.2,0.08101875,0.042673667,1.2,0,1.442673667,0,0,0,0,0,0
17/08/2022,12:16:49,1,Free text,Calibration,6,2,4,5,2022_08_17-12_15_57.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.066666667,0.079052778,0.061881,1.266666667,0.066666667,1.461881001,0,0,0,0,0,0
17/08/2022,12:17:17,1,Free text,Calibration,6,3,3,5,2022_08_17-12_15_57.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.066666667,0.086355139,0.030925667,1.2,0,1.297592334,0,0,0,0,0,0
17/08/2022,12:19:55,1,Free text,Calibration,7,1,6,3,2022_08_17-12_19_48.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.129843333,0.014753043,0.043478261,0,0.058231304,0,0,0,0,0,0
17/08/2022,12:20:14,1,Free text,Calibration,7,2,6,3,2022_08_17-12_19_48.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.138565556,0.023264348,0.043478261,0,0.066742609,0,0,0,0,0,0
17/08/2022,12:20:34,1,Free text,Calibration,7,3,6,4,2022_08_17-12_19_48.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.138148889,0.015046957,0.043478261,0,0.058525218,0,0,0,0,0,0
17/08/2022,12:20:57,1,Free text,Calibration,7,4,6,4,2022_08_17-12_19_48.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.13876,0.017893913,0.043478261,0,0.061372174,0,0,0,0,0,0
17/08/2022,12:23:36,1,Free text,Calibration,8,1,7,2,2022_08_17-12_21_45.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.049679722,0.031319706,0,0,0.031319706,0,0,0,0,0,0
17/08/2022,12:23:56,1,Free text,Calibration,8,2,7,2,2022_08_17-12_21_45.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.039471667,0.037477353,0.117647059,0,0.155124412,0,0,0,0,0,0
17/08/2022,12:24:13,1,Free text,Calibration,8,3,7,3,2022_08_17-12_21_45.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.049869444,0.024133235,0,0,0.024133235,0,0,0,0,0,0
17/08/2022,12:29:12,1,Free text,Practice,9,1,5,5,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.116977222,0.0168725,0,0,0.0168725,0,0,0,0,0,0
17/08/2022,12:29:44,1,Free text,Practice,9,2,3,5,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.037140694,0.072717273,0.090909091,0,0.163626364,0,0,0,0,0,0
17/08/2022,12:30:18,1,Free text,Practice,9,3,3,3,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.227272727,0.036201667,0.035013636,0.181818182,0,0.444104545,0,0,0,0,0,0
17/08/2022,12:30:49,1,Free text,Practice,9,4,3,4,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.136363636,0.026257222,0.018519545,0.136363636,0,0.291246817,0,0,0,0,0,0
17/08/2022,12:31:17,1,Free text,Practice,9,5,3,4,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.181818182,0.032033194,0.018240909,0.136363636,0,0.336422727,0,0,0,0,0,0
17/08/2022,12:32:23,1,Free text,Test,10,1,4,4,2022_08_17-12_28_39.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.038980139,0.025562045,0.045454545,0,0.071016591,0,0,0,0,0,0
17/08/2022,12:35:09,1,Free text,Test,11,1,4,4,2022_08_17-12_35_01.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.091791806,0.042629167,0,0,0.042629167,0,0,0,0,0,0
17/08/2022,12:35:28,1,Free text,Test,11,2,4,2,2022_08_17-12_35_01.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.079104583,0.035090278,0.111111111,0,0.146201389,0,0,0,0,0,0
17/08/2022,12:35:50,1,Free text,Test,11,3,4,3,2022_08_17-12_35_01.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.076300833,0.029251111,0.055555556,0,0.084806667,0,0,0,0,0,0
17/08/2022,12:38:46,1,Free text,Practice,12,1,2,6,2022_08_17-12_38_38.xml,None,174,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.173490972,0.01902532,0,0,0.01902532,0,0,0,0,0,0
17/08/2022,12:39:09,1,Free text,Practice,12,2,2,6,2022_08_17-12_38_38.xml,None,174,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.167824306,0.01742532,0,0,0.01742532,0,0,0,0,0,0
17/08/2022,12:39:30,1,Free text,Practice,12,3,1,6,2022_08_17-12_38_38.xml,None,174,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.16401875,0.01886532,0,0,0.01886532,0,0,0,0,0,0
17/08/2022,12:39:52,1,Free text,Practice,12,4,1,7,2022_08_17-12_38_38.xml,None,174,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.163074306,0.01709148,0,0,0.01709148,0,0,0,0,0,0
17/08/2022,12:40:15,1,Free text,Practice,12,5,1,7,2022_08_17-12_38_38.xml,None,174,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.163148028,0.019933,0,0,0.019933,0,0,0,0,0,0
17/08/2022,12:41:05,1,Free text,Test,13,1,4,5,2022_08_17-12_38_38.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.193916194,0.11890548,0,0,0.11890548,0,0,0,0,0,0
17/08/2022,12:43:10,1,Free text,Practice,14,1,5,3,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.074121528,0.047941563,0,0,0.047941563,0,0,0,0,0,0
17/08/2022,12:43:31,1,Free text,Practice,14,2,5,4,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.06836,0.036994375,0.0625,0,0.099494375,0,0,0,0,0,0
17/08/2022,12:43:48,1,Free text,Practice,14,3,5,4,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.071774861,0.033435937,0,0,0.033435937,0,0,0,0,0,0
17/08/2022,12:44:07,1,Free text,Practice,14,4,5,2,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.125,0.08041375,0.059411563,0,0,0.184411563,0,0,0,0,0,0
17/08/2022,12:44:26,1,Free text,Practice,14,5,5,3,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.070876944,0.0546575,0.0625,0,0.1171575,0,0,0,0,0,0
17/08/2022,12:45:00,1,Free text,Test,15,1,5,3,2022_08_17-12_43_05.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.059828611,0.04201875,0.0625,0,0.10451875,0,0,0,0,0,0
17/08/2022,12:47:12,1,Free text,Practice,16,1,7,2,2022_08_17-12_47_07.xml,None,322,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.333333333,0.065204861,0.044512917,0.166666667,0,0.544512917,0,0,0,0,0,0
17/08/2022,12:47:28,1,Free text,Practice,16,2,7,1,2022_08_17-12_47_07.xml,None,322,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.541666667,0.080834583,0.045471875,0.083333333,0,0.670471875,0,0,0,0,0,0
17/08/2022,12:47:46,1,Free text,Practice,16,3,7,1,2022_08_17-12_47_07.xml,None,322,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.166666667,0.078973472,0.0628875,0.083333333,0,0.3128875,0,0,0,0,0,0
17/08/2022,12:48:03,1,Free text,Practice,16,4,7,1,2022_08_17-12_47_07.xml,None,322,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.291666667,0.074195694,0.049318542,0.083333333,0,0.424318542,0,0,0,0,0,0
17/08/2022,12:48:23,1,Free text,Practice,16,5,7,3,2022_08_17-12_47_07.xml,None,322,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.081205,0.037040208,0.041666667,0,0.078706875,0,0,0,0,0,0
17/08/2022,12:49:01,1,Free text,Test,17,1,6,2,2022_08_17-12_47_07.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.291666667,0.065547361,0.094304583,0.125,0.041666667,0.552637917,0,0,0,0,0,0
17/08/2022,12:49:24,1,Free text,Test,17,2,6,3,2022_08_17-12_47_07.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.333333333,0.064241667,0.095012917,0.125,0,0.55334625,0,0,0,0,0,0
17/08/2022,12:53:28,1,Free text,Retention,18,1,4,6,2022_08_17-12_53_21.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_28_39.mid,0,0.038315278,0.0324475,0,0,0.0324475,0,0,0,0,0,0
17/08/2022,12:53:48,1,Free text,Retention,18,2,4,5,2022_08_17-12_53_21.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_28_39.mid,0,0.047057361,0.036768636,0.045454545,0,0.082223181,0,0,0,0,0,0
17/08/2022,12:54:08,1,Free text,Retention,18,3,4,6,2022_08_17-12_53_21.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_28_39.mid,0,0.043437222,0.042129318,0,0,0.042129318,0,0,0,0,0,0
17/08/2022,12:55:01,1,Free text,Retention,19,1,4,5,2022_08_17-12_54_54.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_35_01.mid,0,0.075686111,0.036724444,0.055555556,0,0.09228,0,0,0,0,0,0
17/08/2022,12:55:19,1,Free text,Retention,19,2,4,5,2022_08_17-12_54_54.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_35_01.mid,0,0.092014028,0.077831944,0,0.055555556,0.1333875,0,0,0,0,0,0
17/08/2022,12:55:39,1,Free text,Retention,19,3,4,4,2022_08_17-12_54_54.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_35_01.mid,0,0.069024861,0.033369444,0.111111111,0,0.144480555,0,0,0,0,0,0
17/08/2022,12:56:20,1,Free text,Retention,20,1,3,6,2022_08_17-12_56_15.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_38_38.mid,0,0.116069583,0.0182842,0,0,0.0182842,0,0,0,0,0,0
17/08/2022,12:56:37,1,Free text,Retention,20,2,2,6,2022_08_17-12_56_15.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_38_38.mid,0,0.113729028,0.0100946,0,0,0.0100946,0,0,0,0,0,0
17/08/2022,12:56:58,1,Free text,Retention,20,3,2,7,2022_08_17-12_56_15.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_38_38.mid,0,0.110923472,0.0123798,0,0,0.0123798,0,0,0,0,0,0
17/08/2022,12:57:55,1,Free text,Retention,21,1,4,5,2022_08_17-12_57_49.xml,None,248,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-12_43_05.mid,0,0.064747083,0.045637187,0,0,0.045637187,0,0,0,0,0,0
